# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
3468	TDEMKSP	German Mark To United States Dollar Spot	Germany	FX	Refinitiv	Datastream	TDEMKSP	B	3468	USD	DEM	USDDEM	0m	Outright
3469	TDETBSP	Ethiopian Birr To United States Dollar Spot	Ethiopia	FX	Refinitiv	Datastream	TDETBSP	B	3469	USD	ETB	USDETB	0m	Outright
3470	TDEUR1M	United States Dollar To Euro 1 Month Forward	United States	FX	Refinitiv	Datastream	TDEUR1M	B	3470	EUR	USD	EURUSD	1m	Outright
3471	TDEUR1W	United States Dollar To Euro 1 Week Forward	United States	FX	Refinitiv	Datastream	TDEUR1W	B	3471	EUR	USD	EURUSD	1w	Outright
3472	TDEUR1Y	United States Dollar To Euro 1 Year Forward	United States	FX	Refinitiv	Datastream	TDEUR1Y	B	3472	EUR	USD	EURUSD	1y	Outright
3473	TDEUR2M	United States Dollar To Euro 2 Month Forward	United States	FX	Refinitiv	Datastream	TDEUR2M	B	3473	EUR	USD	EURUSD	2m	Outright
3474	TDEUR2W	United States Dollar To Euro 2 Week Forward	United States	FX	Refinitiv	Datastream	TDEUR2W	B	3474	EUR	USD	EURUSD	2w	Outright
3475	TDEUR3M	United States Dollar To Euro 3 Month Forward	United States	FX	Refinitiv	Datastream	TDEUR3M	B	3475	EUR	USD	EURUSD	3m	Outright
3476	TDEUR3W	United States Dollar To Euro 3 Week Forward	United States	FX	Refinitiv	Datastream	TDEUR3W	B	3476	EUR	USD	EURUSD	3w	Outright
3477	TDEUR6M	United States Dollar To Euro 6 Month Forward	United States	FX	Refinitiv	Datastream	TDEUR6M	B	3477	EUR	USD	EURUSD	6m	Outright
3478	TDEUR9M	United States Dollar To Euro 9 Month Forward	United States	FX	Refinitiv	Datastream	TDEUR9M	B	3478	EUR	USD	EURUSD	9m	Outright
3479	TDEURSP	United States Dollar To Euro Spot	United States	FX	Refinitiv	Datastream	TDEURSP	B	3479	EUR	USD	EURUSD	0m	Outright
3480	TDFJDSP	Fijian Dollar To United States Dollar Spot	Fiji	FX	Refinitiv	Datastream	TDFJDSP	B	3480	USD	FJD	USDFJD	0m	Outright
3481	TDGBP1M	United States Dollar To United Kingdom Pound 1 Month Forward	United States	FX	Refinitiv	Datastream	TDGBP1M	B	3481	GBP	USD	GBPUSD	1m	Outright
3482	TDGBP1W	United States Dollar To United Kingdom Pound 1 Week Forward	United States	FX	Refinitiv	Datastream	TDGBP1W	B	3482	GBP	USD	GBPUSD	1w	Outright
3483	TDGBP1Y	United States Dollar To United Kingdom Pound 1 Year Forward	United States	FX	Refinitiv	Datastream	TDGBP1Y	B	3483	GBP	USD	GBPUSD	1y	Outright
3484	TDGBP2M	United States Dollar To United Kingdom Pound 2 Month Forward	United States	FX	Refinitiv	Datastream	TDGBP2M	B	3484	GBP	USD	GBPUSD	2m	Outright
3485	TDGBP2W	United States Dollar To United Kingdom Pound 2 Week Forward	United States	FX	Refinitiv	Datastream	TDGBP2W	B	3485	GBP	USD	GBPUSD	2w	Outright
3486	TDGBP3M	United States Dollar To United Kingdom Pound 3 Month Forward	United States	FX	Refinitiv	Datastream	TDGBP3M	B	3486	GBP	USD	GBPUSD	3m	Outright
3487	TDGBP3W	United States Dollar To United Kingdom Pound 3 Week Forward	United States	FX	Refinitiv	Datastream	TDGBP3W	B	3487	GBP	USD	GBPUSD	3w	Outright
3488	TDGBP6M	United States Dollar To United Kingdom Pound 6 Month Forward	United States	FX	Refinitiv	Datastream	TDGBP6M	B	3488	GBP	USD	GBPUSD	6m	Outright
